# Источник: рейтинговое агентство RAEX (РАЭКС-Аналитика) https://raex-a.ru/rankings/school/2019#school_6
# Таблица 6. Рейтинг школ по количеству выпускников, поступивших в ведущие вузы России
# Место	Название	Субъект федерации	Город	Балл
254 	Вологодский многопрофильный лицей 	Вологодская область 	Вологда 	60,12
255 	Лицей информационных технологий 	Новосибирская область 	Новосибирск 	59,88
256 	Школа № 1541 	Москва 	Москва 	59,85
257 	"Лицей 44" города Липецка 	Липецкая область 	Липецк 	59,77
258 	Физико-математический лицей-интернат 	Коми республика 	Сыктывкар 	59,76
259 	Школа № 10 с углубленным изучением отдельных предметов имени академика Ю. А. Овчинникова 	Красноярский край 	Красноярск 	59,75
260 	Школа № 1550 	Москва 	Москва 	59,54
261 	Пушкинская школа № 1500 	Москва 	Москва 	59,29
262 	Школа № 1236 имени С.В. Милашенкова 	Москва 	Москва 	59,18
263 	Гимназия № 70 	Свердловская область 	Екатеринбург 	59,09
264 	Школа № 7 	Москва 	Москва 	59,03
265 	Лицей № 14 им. М.М. Громова 	Московская область 	Жуковский 	58,99
266 	Гимназия № 127 	Челябинская область 	Снежинск 	58,91
267 	Школа №1228 "Лефортово" 	Москва 	Москва 	58,80
268 	Школа № 2109 	Москва 	Москва 	58,76
269 	Школа № 1315 	Москва 	Москва 	58,68
270 	Лицей № 174 	Красноярский край 	Зеленогорск 	58,65
271 	Школа № 2070 	Москва 	Москва 	58,53
272 	Ижевский естественно-гуманитарный лицей "Школа-30" 	Удмуртия республика 	Ижевск 	58,47
273 	Школа № 1298 "Профиль Куркино" 	Москва 	Москва 	58,34
274 	Школа № 1569 "Созвездие" 	Москва 	Москва 	58,26
275 	Лицей № 39 	Челябинская область 	Озерск 	58,15
276 	Лицей № 2 	Красноярский край 	Красноярск 	57,87
277 	Лицей имени Кирилла и Мефодия 	Смоленская область 	Смоленск 	57,77
278 	Лицей № 44 	Чувашия республика 	Чебоксары 	57,66
279 	Гимназия г. Троицка 	Москва 	Москва 	57,63
280 	Физико-математический лицей № 93 	Башкортостан республика 	Уфа 	57,55
281 	Гимназия "Лаборатория Салахова" 	Ханты-Мансийский автономный округ - Югра  	Сургут 	57,44
282 	Лицей № 2 	Татарстан республика 	Альметьевск 	57,42
283 	Школа № 1232 "На Кутузовском" 	Москва 	Москва 	57,40
284 	Красноярский кадетский корпус имени А.И. Лебедя 	Красноярский край 	Красноярск 	57,30
285 	Многопрофильная гимназия № 12 	Тверская область 	Тверь 	57,27
286 	Центр образования № 1  - гуманитарно-математический лицей имени Героя России Горшкова Д.Е. 	Тульская область 	Тула 	57,09
287 	Вторая Новосибирская гимназия 	Новосибирская область 	Новосибирск 	57,05
288 	Школа № 1948 "Лингвист-М" 	Москва 	Москва 	56,87
289 	Лицей естественных наук 	Кировская область 	Киров 	56,61
290 	Школа № 1400 	Москва 	Москва 	56,58
291 	Лицей "Технический" 	Приморский край 	Владивосток 	56,30
292 	Гимназия города Юрги 	Кемеровская область 	Юрга 	56,22
293 	Школа № 1507 	Москва 	Москва 	56,21
294 	Лицей № 15 имени академика Юлия Борисовича Харитона 	Нижегородская область 	Саров 	56,05
295 	Школа № 2036 	Москва 	Москва 	54,64
296 	Школа "Свиблово" 	Москва 	Москва 	55,82
297 	Школа № 429 "Соколиная гора" 	Москва 	Москва 	55,79
298 	Лицей № 1 	Саратовская область         	Балаково 	55,61
299 	Школа № 498 	Москва 	Москва 	55,49
300 	Городская гимназия города Димитровграда 	Ульяновская область 	Димитровград 	55,47
